district,region,class,lat,lon,poverty_rate,poverty_intensity,illiteracy_rate,uninsured_rate,employed_share,under15_share,women_15_64_share,total_population,geojson_district,match_method,is_structural_gap,tfr_15_49_region,asfr_15_19_region,mcpr_married_region,unmet_need_region,edu_secondary_women_region
Asunafo North Municipal,Ahafo,Municipal,6.81509969999999,-2.67736640122449,26.1,42.0,26.32,14.24,34.12,35.83,29.68,151258,ASUNAFO NORTH MUNICIPAL,exact_normalized,False,4.3,60.0,35.8,24.1,70.7
Asunafo South,Ahafo,District,6.56280465,-2.53279356335542,26.2,42.7,28.89,47.5,35.63,36.92,28.89,91693,ASUNAFO SOUTH,exact_normalized,False,4.3,60.0,35.8,24.1,70.7
Asutifi North,Ahafo,District,7.07651835,-2.52531850396715,26.6,43.1,25.55,17.3,33.2,35.41,29.34,73556,ASUTIFI NORTH,exact_normalized,False,4.3,60.0,35.8,24.1,70.7
Asutifi South,Ahafo,District,6.84924284999999,-2.46125343688365,23.2,42.4,29.26,21.67,32.05,37.0,29.07,67334,ASUTIFI SOUTH,exact_normalized,False,4.3,60.0,35.8,24.1,70.7
Tano North Municipal,Ahafo,Municipal,7.19329065,-2.2080833699397,21.6,42.3,23.45,14.1,33.5,34.95,30.8,93838,TANO NORTH MUNICIPAL,exact_normalized,False,4.3,60.0,35.8,24.1,70.7
Tano South Municipal,Ahafo,Municipal,7.16093674999999,-1.99681708617696,23.7,42.6,27.91,20.45,33.34,36.6,30.23,86989,TANO SOUTH MUNICIPAL,exact_normalized,False,4.3,60.0,35.8,24.1,70.7
Adansi Asokwa,Ashanti,District,6.2467263,-1.50841,32.4,43.3,28.26,50.15,32.78,36.82,29.7,71844,ADANSI ASOKWA,exact_normalized,False,3.5,62.0,32.1,23.0,79.8
Adansi North,Ashanti,District,6.3006124,-1.5897139446089,19.7,42.8,18.16,27.63,32.15,33.69,31.3,54155,ADANSI NORTH,exact_normalized,False,3.5,62.0,32.1,23.0,79.8
Adansi South,Ashanti,District,6.00427495,-1.39314032189093,35.0,43.2,27.07,46.09,34.78,36.73,29.75,85200,ADANSI SOUTH,exact_normalized,False,3.5,62.0,32.1,23.0,79.8
Afigya Kwabre North,Ashanti,District,7.03891495,-1.62667127242319,25.2,43.7,23.98,30.12,29.11,39.61,28.75,73330,AFIGYA KWABRE NORTH,exact_normalized,False,3.5,62.0,32.1,23.0,79.8
Afigya Kwabre South,Ashanti,District,6.83998064999999,-1.60957900170106,13.0,43.3,13.42,24.97,31.97,36.95,30.95,234667,AFIGYA KWABRE SOUTH,exact_normalized,False,3.5,62.0,32.1,23.0,79.8
Ahafo Ano North Municipal,Ashanti,Municipal,6.90966445,-2.23301229669742,26.5,41.2,24.92,30.64,36.02,36.67,29.66,92742,AHAFO ANO NORTH,exact_normalized,False,3.5,62.0,32.1,23.0,79.8
Ahafo Ano South East,Ashanti,District,6.94633355,-1.90095355028736,31.8,42.5,32.24,32.34,32.39,39.68,27.72,63468,AHAFO ANO SOUTH EAST,exact_normalized,False,3.5,62.0,32.1,23.0,79.8
Ahafo Ano South West,Ashanti,District,6.8289788,-2.00038660056909,31.9,41.8,31.43,37.52,34.76,37.49,28.46,65770,AHAFO ANO SOUTH WEST,exact_normalized,False,3.5,62.0,32.1,23.0,79.8
Akrofuom,Ashanti,District,6.03262245,-1.67136425707588,37.0,44.2,30.03,42.84,32.7,35.49,27.44,49291,ADANSI AKROFUOM,manual_resolved,False,3.5,62.0,32.1,23.0,79.8
Amansie Central,Ashanti,District,6.20744165,-1.82814118592735,28.6,43.3,29.44,33.99,36.09,34.83,28.47,93052,AMANSIE CENTRAL,exact_normalized,False,3.5,62.0,32.1,23.0,79.8
