region,year,indicator,value,unit,theme,source_csv,source_label,inherited,survey_type,dt_years
Ashanti,1988,tfr_15_49,6.3,children/woman,fertility,fertility-rates,Ashanti,False,DHS,
Ashanti,1993,tfr_15_49,5.4,children/woman,fertility,fertility-rates,Ashanti,False,DHS,5.0
Ashanti,1998,tfr_15_49,4.9,children/woman,fertility,fertility-rates,Ashanti,False,DHS,5.0
Ashanti,2003,tfr_15_49,4.1,children/woman,fertility,fertility-rates,Ashanti,False,DHS,5.0
Ashanti,2008,tfr_15_49,3.6,children/woman,fertility,fertility-rates,Ashanti,False,DHS,5.0
Ashanti,2014,tfr_15_49,4.2,children/woman,fertility,fertility-rates,Ashanti,False,DHS,6.0
Ashanti,2016,tfr_15_49,3.9,children/woman,fertility,fertility-rates,Ashanti,False,MIS,2.0
Ashanti,2019,tfr_15_49,3.5,children/woman,fertility,fertility-rates,Ashanti,False,MIS,3.0
Ashanti,2022,tfr_15_49,3.5,children/woman,fertility,fertility-rates,Ashanti,False,DHS,3.0
Central,1988,tfr_15_49,6.6,children/woman,fertility,fertility-rates,Central,False,DHS,
Central,1993,tfr_15_49,5.4,children/woman,fertility,fertility-rates,Central,False,DHS,5.0
Central,1998,tfr_15_49,4.7,children/woman,fertility,fertility-rates,Central,False,DHS,5.0
Central,2003,tfr_15_49,5.0,children/woman,fertility,fertility-rates,Central,False,DHS,5.0
Central,2008,tfr_15_49,5.4,children/woman,fertility,fertility-rates,Central,False,DHS,5.0
Central,2014,tfr_15_49,4.7,children/woman,fertility,fertility-rates,Central,False,DHS,6.0
Central,2016,tfr_15_49,4.0,children/woman,fertility,fertility-rates,Central,False,MIS,2.0
Central,2019,tfr_15_49,3.9,children/woman,fertility,fertility-rates,Central,False,MIS,3.0
Central,2022,tfr_15_49,3.6,children/woman,fertility,fertility-rates,Central,False,DHS,3.0
Greater Accra,1988,tfr_15_49,4.7,children/woman,fertility,fertility-rates,Greater Accra,False,DHS,
Greater Accra,1993,tfr_15_49,3.4,children/woman,fertility,fertility-rates,Greater Accra,False,DHS,5.0
Greater Accra,1998,tfr_15_49,2.7,children/woman,fertility,fertility-rates,Greater Accra,False,DHS,5.0
Greater Accra,2003,tfr_15_49,2.9,children/woman,fertility,fertility-rates,Greater Accra,False,DHS,5.0
Greater Accra,2008,tfr_15_49,2.5,children/woman,fertility,fertility-rates,Greater Accra,False,DHS,5.0
Greater Accra,2014,tfr_15_49,2.8,children/woman,fertility,fertility-rates,Greater Accra,False,DHS,6.0
Greater Accra,2016,tfr_15_49,3.3,children/woman,fertility,fertility-rates,Greater Accra,False,MIS,2.0
Greater Accra,2019,tfr_15_49,2.7,children/woman,fertility,fertility-rates,Greater Accra,False,MIS,3.0
Greater Accra,2022,tfr_15_49,2.9,children/woman,fertility,fertility-rates,Greater Accra,False,DHS,3.0
Eastern,1988,tfr_15_49,6.0,children/woman,fertility,fertility-rates,Eastern,False,DHS,
Eastern,1993,tfr_15_49,5.0,children/woman,fertility,fertility-rates,Eastern,False,DHS,5.0
Eastern,1998,tfr_15_49,4.5,children/woman,fertility,fertility-rates,Eastern,False,DHS,5.0
Eastern,2003,tfr_15_49,4.3,children/woman,fertility,fertility-rates,Eastern,False,DHS,5.0
Eastern,2008,tfr_15_49,3.6,children/woman,fertility,fertility-rates,Eastern,False,DHS,5.0
Eastern,2014,tfr_15_49,4.2,children/woman,fertility,fertility-rates,Eastern,False,DHS,6.0
Eastern,2016,tfr_15_49,3.6,children/woman,fertility,fertility-rates,Eastern,False,MIS,2.0
Eastern,2019,tfr_15_49,3.3,children/woman,fertility,fertility-rates,Eastern,False,MIS,3.0
Eastern,2022,tfr_15_49,3.5,children/woman,fertility,fertility-rates,Eastern,False,DHS,3.0
Upper East,1988,tfr_15_49,6.9,children/woman,fertility,fertility-rates,"Northern, Upper West, Upper East",True,DHS,
Upper East,1993,tfr_15_49,5.7,children/woman,fertility,fertility-rates,Upper East,False,DHS,5.0
Upper East,1998,tfr_15_49,4.4,children/woman,fertility,fertility-rates,Upper East,False,DHS,5.0
Upper East,2003,tfr_15_49,4.7,children/woman,fertility,fertility-rates,Upper East,False,DHS,5.0
Upper East,2008,tfr_15_49,4.1,children/woman,fertility,fertility-rates,Upper East,False,DHS,5.0
Upper East,2014,tfr_15_49,4.9,children/woman,fertility,fertility-rates,Upper East,False,DHS,6.0
Upper East,2016,tfr_15_49,4.2,children/woman,fertility,fertility-rates,Upper East,False,MIS,2.0
Upper East,2019,tfr_15_49,4.4,children/woman,fertility,fertility-rates,Upper East,False,MIS,3.0
Upper East,2022,tfr_15_49,4.6,children/woman,fertility,fertility-rates,Upper East,False,DHS,3.0
Upper West,1988,tfr_15_49,6.9,children/woman,fertility,fertility-rates,"Northern, Upper West, Upper East",True,DHS,
Upper West,1993,tfr_15_49,5.2,children/woman,fertility,fertility-rates,Upper West,False,DHS,5.0
Upper West,1998,tfr_15_49,5.9,children/woman,fertility,fertility-rates,Upper West,False,DHS,5.0
Upper West,2003,tfr_15_49,5.5,children/woman,fertility,fertility-rates,Upper West,False,DHS,5.0
Upper West,2008,tfr_15_49,5.0,children/woman,fertility,fertility-rates,Upper West,False,DHS,5.0
Upper West,2014,tfr_15_49,5.2,children/woman,fertility,fertility-rates,Upper West,False,DHS,6.0
Upper West,2016,tfr_15_49,4.3,children/woman,fertility,fertility-rates,Upper West,False,MIS,2.0
Upper West,2019,tfr_15_49,4.3,children/woman,fertility,fertility-rates,Upper West,False,MIS,3.0
Upper West,2022,tfr_15_49,4.5,children/woman,fertility,fertility-rates,Upper West,False,DHS,3.0
Western,1988,tfr_15_49,6.4,children/woman,fertility,fertility-rates,Western (pre 2022),True,DHS,
Western,1993,tfr_15_49,5.4,children/woman,fertility,fertility-rates,Western (pre 2022),True,DHS,5.0
Western,1998,tfr_15_49,4.3,children/woman,fertility,fertility-rates,Western (pre 2022),True,DHS,5.0
Western,2003,tfr_15_49,4.5,children/woman,fertility,fertility-rates,Western (pre 2022),True,DHS,5.0
Western,2008,tfr_15_49,4.2,children/woman,fertility,fertility-rates,Western (pre 2022),True,DHS,5.0
Western,2014,tfr_15_49,3.6,children/woman,fertility,fertility-rates,Western (pre 2022),True,DHS,6.0
Western,2016,tfr_15_49,4.3,children/woman,fertility,fertility-rates,Western (pre 2022),True,MIS,2.0
Western,2019,tfr_15_49,3.9,children/woman,fertility,fertility-rates,Western (pre 2022),True,MIS,3.0
Western,2022,tfr_15_49,3.6,children/woman,fertility,fertility-rates,Western (post 2022),True,DHS,3.0
Western North,1988,tfr_15_49,6.4,children/woman,fertility,fertility-rates,Western (pre 2022),True,DHS,
Western North,1993,tfr_15_49,5.4,children/woman,fertility,fertility-rates,Western (pre 2022),True,DHS,5.0
Western North,1998,tfr_15_49,4.3,children/woman,fertility,fertility-rates,Western (pre 2022),True,DHS,5.0
Western North,2003,tfr_15_49,4.5,children/woman,fertility,fertility-rates,Western (pre 2022),True,DHS,5.0
Western North,2008,tfr_15_49,4.2,children/woman,fertility,fertility-rates,Western (pre 2022),True,DHS,5.0
Western North,2014,tfr_15_49,3.6,children/woman,fertility,fertility-rates,Western (pre 2022),True,DHS,6.0
Western North,2016,tfr_15_49,4.3,children/woman,fertility,fertility-rates,Western (pre 2022),True,MIS,2.0
Western North,2019,tfr_15_49,3.9,children/woman,fertility,fertility-rates,Western (pre 2022),True,MIS,3.0
Western North,2022,tfr_15_49,3.8,children/woman,fertility,fertility-rates,Western North,False,DHS,3.0
Volta,1988,tfr_15_49,7.2,children/woman,fertility,fertility-rates,Volta (pre 2022),True,DHS,
Volta,1993,tfr_15_49,5.4,children/woman,fertility,fertility-rates,Volta (pre 2022),True,DHS,5.0
Volta,1998,tfr_15_49,4.3,children/woman,fertility,fertility-rates,Volta (pre 2022),True,DHS,5.0
Volta,2003,tfr_15_49,4.4,children/woman,fertility,fertility-rates,Volta (pre 2022),True,DHS,5.0
Volta,2008,tfr_15_49,3.8,children/woman,fertility,fertility-rates,Volta (pre 2022),True,DHS,5.0
Volta,2014,tfr_15_49,4.3,children/woman,fertility,fertility-rates,Volta (pre 2022),True,DHS,6.0
Volta,2016,tfr_15_49,4.2,children/woman,fertility,fertility-rates,Volta (pre 2022),True,MIS,2.0
Volta,2019,tfr_15_49,4.1,children/woman,fertility,fertility-rates,Volta (pre 2022),True,MIS,3.0
Volta,2022,tfr_15_49,3.2,children/woman,fertility,fertility-rates,Volta (post 2022),True,DHS,3.0
Oti,1988,tfr_15_49,7.2,children/woman,fertility,fertility-rates,Volta (pre 2022),True,DHS,
Oti,1993,tfr_15_49,5.4,children/woman,fertility,fertility-rates,Volta (pre 2022),True,DHS,5.0
Oti,1998,tfr_15_49,4.3,children/woman,fertility,fertility-rates,Volta (pre 2022),True,DHS,5.0
Oti,2003,tfr_15_49,4.4,children/woman,fertility,fertility-rates,Volta (pre 2022),True,DHS,5.0
Oti,2008,tfr_15_49,3.8,children/woman,fertility,fertility-rates,Volta (pre 2022),True,DHS,5.0
Oti,2014,tfr_15_49,4.3,children/woman,fertility,fertility-rates,Volta (pre 2022),True,DHS,6.0
Oti,2016,tfr_15_49,4.2,children/woman,fertility,fertility-rates,Volta (pre 2022),True,MIS,2.0
Oti,2019,tfr_15_49,4.1,children/woman,fertility,fertility-rates,Volta (pre 2022),True,MIS,3.0
Oti,2022,tfr_15_49,5.2,children/woman,fertility,fertility-rates,Oti,False,DHS,3.0
Ahafo,1988,tfr_15_49,7.6,children/woman,fertility,fertility-rates,Brong-Ahafo,True,DHS,
Ahafo,1993,tfr_15_49,4.7,children/woman,fertility,fertility-rates,Brong-Ahafo,True,DHS,5.0
Ahafo,1998,tfr_15_49,5.2,children/woman,fertility,fertility-rates,Brong-Ahafo,True,DHS,5.0
Ahafo,2003,tfr_15_49,4.8,children/woman,fertility,fertility-rates,Brong-Ahafo,True,DHS,5.0
Ahafo,2008,tfr_15_49,4.1,children/woman,fertility,fertility-rates,Brong-Ahafo,True,DHS,5.0
Ahafo,2014,tfr_15_49,4.8,children/woman,fertility,fertility-rates,Brong-Ahafo,True,DHS,6.0
Ahafo,2016,tfr_15_49,4.3,children/woman,fertility,fertility-rates,Brong-Ahafo,True,MIS,2.0
Ahafo,2019,tfr_15_49,4.5,children/woman,fertility,fertility-rates,Brong-Ahafo,True,MIS,3.0
Ahafo,2022,tfr_15_49,4.3,children/woman,fertility,fertility-rates,Ahafo,False,DHS,3.0
Bono,1988,tfr_15_49,7.6,children/woman,fertility,fertility-rates,Brong-Ahafo,True,DHS,
Bono,1993,tfr_15_49,4.7,children/woman,fertility,fertility-rates,Brong-Ahafo,True,DHS,5.0
Bono,1998,tfr_15_49,5.2,children/woman,fertility,fertility-rates,Brong-Ahafo,True,DHS,5.0
Bono,2003,tfr_15_49,4.8,children/woman,fertility,fertility-rates,Brong-Ahafo,True,DHS,5.0
Bono,2008,tfr_15_49,4.1,children/woman,fertility,fertility-rates,Brong-Ahafo,True,DHS,5.0
Bono,2014,tfr_15_49,4.8,children/woman,fertility,fertility-rates,Brong-Ahafo,True,DHS,6.0
Bono,2016,tfr_15_49,4.3,children/woman,fertility,fertility-rates,Brong-Ahafo,True,MIS,2.0
Bono,2019,tfr_15_49,4.5,children/woman,fertility,fertility-rates,Brong-Ahafo,True,MIS,3.0
Bono,2022,tfr_15_49,3.7,children/woman,fertility,fertility-rates,Bono,False,DHS,3.0
Bono East,1988,tfr_15_49,7.6,children/woman,fertility,fertility-rates,Brong-Ahafo,True,DHS,
Bono East,1993,tfr_15_49,4.7,children/woman,fertility,fertility-rates,Brong-Ahafo,True,DHS,5.0
Bono East,1998,tfr_15_49,5.2,children/woman,fertility,fertility-rates,Brong-Ahafo,True,DHS,5.0
Bono East,2003,tfr_15_49,4.8,children/woman,fertility,fertility-rates,Brong-Ahafo,True,DHS,5.0
Bono East,2008,tfr_15_49,4.1,children/woman,fertility,fertility-rates,Brong-Ahafo,True,DHS,5.0
Bono East,2014,tfr_15_49,4.8,children/woman,fertility,fertility-rates,Brong-Ahafo,True,DHS,6.0
Bono East,2016,tfr_15_49,4.3,children/woman,fertility,fertility-rates,Brong-Ahafo,True,MIS,2.0
Bono East,2019,tfr_15_49,4.5,children/woman,fertility,fertility-rates,Brong-Ahafo,True,MIS,3.0
Bono East,2022,tfr_15_49,4.7,children/woman,fertility,fertility-rates,Bono East,False,DHS,3.0
Northern,1988,tfr_15_49,6.9,children/woman,fertility,fertility-rates,"Northern, Upper West, Upper East",True,DHS,
Northern,1993,tfr_15_49,6.4,children/woman,fertility,fertility-rates,Northern (pre 2022),True,DHS,5.0
Northern,1998,tfr_15_49,6.6,children/woman,fertility,fertility-rates,Northern (pre 2022),True,DHS,5.0
Northern,2003,tfr_15_49,7.0,children/woman,fertility,fertility-rates,Northern (pre 2022),True,DHS,5.0
Northern,2008,tfr_15_49,6.8,children/woman,fertility,fertility-rates,Northern (pre 2022),True,DHS,5.0
Northern,2014,tfr_15_49,6.6,children/woman,fertility,fertility-rates,Northern (pre 2022),True,DHS,6.0
Northern,2016,tfr_15_49,6.9,children/woman,fertility,fertility-rates,Northern (pre 2022),True,MIS,2.0
Northern,2019,tfr_15_49,5.9,children/woman,fertility,fertility-rates,Northern (pre 2022),True,MIS,3.0
Northern,2022,tfr_15_49,5.6,children/woman,fertility,fertility-rates,Northern(post 2022),True,DHS,3.0
Savannah,1988,tfr_15_49,6.9,children/woman,fertility,fertility-rates,"Northern, Upper West, Upper East",True,DHS,
Savannah,1993,tfr_15_49,6.4,children/woman,fertility,fertility-rates,Northern (pre 2022),True,DHS,5.0
Savannah,1998,tfr_15_49,6.6,children/woman,fertility,fertility-rates,Northern (pre 2022),True,DHS,5.0
Savannah,2003,tfr_15_49,7.0,children/woman,fertility,fertility-rates,Northern (pre 2022),True,DHS,5.0
Savannah,2008,tfr_15_49,6.8,children/woman,fertility,fertility-rates,Northern (pre 2022),True,DHS,5.0
Savannah,2014,tfr_15_49,6.6,children/woman,fertility,fertility-rates,Northern (pre 2022),True,DHS,6.0
Savannah,2016,tfr_15_49,6.9,children/woman,fertility,fertility-rates,Northern (pre 2022),True,MIS,2.0
Savannah,2019,tfr_15_49,5.9,children/woman,fertility,fertility-rates,Northern (pre 2022),True,MIS,3.0
Savannah,2022,tfr_15_49,5.8,children/woman,fertility,fertility-rates,Savannah,False,DHS,3.0
North East,1988,tfr_15_49,6.9,children/woman,fertility,fertility-rates,"Northern, Upper West, Upper East",True,DHS,
North East,1993,tfr_15_49,6.4,children/woman,fertility,fertility-rates,Northern (pre 2022),True,DHS,5.0
North East,1998,tfr_15_49,6.6,children/woman,fertility,fertility-rates,Northern (pre 2022),True,DHS,5.0
North East,2003,tfr_15_49,7.0,children/woman,fertility,fertility-rates,Northern (pre 2022),True,DHS,5.0
North East,2008,tfr_15_49,6.8,children/woman,fertility,fertility-rates,Northern (pre 2022),True,DHS,5.0
North East,2014,tfr_15_49,6.6,children/woman,fertility,fertility-rates,Northern (pre 2022),True,DHS,6.0
North East,2016,tfr_15_49,6.9,children/woman,fertility,fertility-rates,Northern (pre 2022),True,MIS,2.0
North East,2019,tfr_15_49,5.9,children/woman,fertility,fertility-rates,Northern (pre 2022),True,MIS,3.0
North East,2022,tfr_15_49,6.6,children/woman,fertility,fertility-rates,Northeast,True,DHS,3.0
Ashanti,1988,asfr_15_19,117.0,births/1000,adolescent,fertility-rates,Ashanti,False,DHS,
Ashanti,1993,asfr_15_19,154.0,births/1000,adolescent,fertility-rates,Ashanti,False,DHS,5.0
Ashanti,1998,asfr_15_19,121.0,births/1000,adolescent,fertility-rates,Ashanti,False,DHS,5.0
Ashanti,2003,asfr_15_19,58.0,births/1000,adolescent,fertility-rates,Ashanti,False,DHS,5.0
Ashanti,2008,asfr_15_19,43.0,births/1000,adolescent,fertility-rates,Ashanti,False,DHS,5.0
Ashanti,2014,asfr_15_19,73.0,births/1000,adolescent,fertility-rates,Ashanti,False,DHS,6.0
Ashanti,2016,asfr_15_19,61.0,births/1000,adolescent,fertility-rates,Ashanti,False,MIS,2.0
Ashanti,2019,asfr_15_19,82.0,births/1000,adolescent,fertility-rates,Ashanti,False,MIS,3.0
Ashanti,2022,asfr_15_19,62.0,births/1000,adolescent,fertility-rates,Ashanti,False,DHS,3.0
Central,1988,asfr_15_19,171.0,births/1000,adolescent,fertility-rates,Central,False,DHS,
Central,1993,asfr_15_19,124.0,births/1000,adolescent,fertility-rates,Central,False,DHS,5.0
Central,1998,asfr_15_19,99.0,births/1000,adolescent,fertility-rates,Central,False,DHS,5.0
Central,2003,asfr_15_19,121.0,births/1000,adolescent,fertility-rates,Central,False,DHS,5.0
Central,2008,asfr_15_19,104.0,births/1000,adolescent,fertility-rates,Central,False,DHS,5.0
Central,2014,asfr_15_19,98.0,births/1000,adolescent,fertility-rates,Central,False,DHS,6.0
Central,2016,asfr_15_19,113.0,births/1000,adolescent,fertility-rates,Central,False,MIS,2.0
Central,2019,asfr_15_19,99.0,births/1000,adolescent,fertility-rates,Central,False,MIS,3.0
Central,2022,asfr_15_19,60.0,births/1000,adolescent,fertility-rates,Central,False,DHS,3.0
Greater Accra,1988,asfr_15_19,86.0,births/1000,adolescent,fertility-rates,Greater Accra,False,DHS,
Greater Accra,1993,asfr_15_19,69.0,births/1000,adolescent,fertility-rates,Greater Accra,False,DHS,5.0
Greater Accra,1998,asfr_15_19,48.0,births/1000,adolescent,fertility-rates,Greater Accra,False,DHS,5.0
Greater Accra,2003,asfr_15_19,37.0,births/1000,adolescent,fertility-rates,Greater Accra,False,DHS,5.0
Greater Accra,2008,asfr_15_19,29.0,births/1000,adolescent,fertility-rates,Greater Accra,False,DHS,5.0
Greater Accra,2014,asfr_15_19,30.0,births/1000,adolescent,fertility-rates,Greater Accra,False,DHS,6.0
Greater Accra,2016,asfr_15_19,47.0,births/1000,adolescent,fertility-rates,Greater Accra,False,MIS,2.0
Greater Accra,2019,asfr_15_19,33.0,births/1000,adolescent,fertility-rates,Greater Accra,False,MIS,3.0
Greater Accra,2022,asfr_15_19,39.0,births/1000,adolescent,fertility-rates,Greater Accra,False,DHS,3.0
Eastern,1988,asfr_15_19,129.0,births/1000,adolescent,fertility-rates,Eastern,False,DHS,
Eastern,1993,asfr_15_19,134.0,births/1000,adolescent,fertility-rates,Eastern,False,DHS,5.0
Eastern,1998,asfr_15_19,106.0,births/1000,adolescent,fertility-rates,Eastern,False,DHS,5.0
Eastern,2003,asfr_15_19,74.0,births/1000,adolescent,fertility-rates,Eastern,False,DHS,5.0
Eastern,2008,asfr_15_19,83.0,births/1000,adolescent,fertility-rates,Eastern,False,DHS,5.0
Eastern,2014,asfr_15_19,98.0,births/1000,adolescent,fertility-rates,Eastern,False,DHS,6.0
Eastern,2016,asfr_15_19,58.0,births/1000,adolescent,fertility-rates,Eastern,False,MIS,2.0
Eastern,2019,asfr_15_19,59.0,births/1000,adolescent,fertility-rates,Eastern,False,MIS,3.0
Eastern,2022,asfr_15_19,65.0,births/1000,adolescent,fertility-rates,Eastern,False,DHS,3.0
Upper East,1988,asfr_15_19,93.0,births/1000,adolescent,fertility-rates,"Northern, Upper West, Upper East",True,DHS,
Upper East,1993,asfr_15_19,115.0,births/1000,adolescent,fertility-rates,"Northern, Upper West, Upper East",True,DHS,5.0
Upper East,1998,asfr_15_19,42.0,births/1000,adolescent,fertility-rates,Upper East,False,DHS,5.0
Upper East,2003,asfr_15_19,83.0,births/1000,adolescent,fertility-rates,Upper East,False,DHS,5.0
