ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Western (pre 2022),889414,Total fertility rate 15-49,6.4,1,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_TFR,11763080,I,408001,1408010,Region,Western (pre 2022),0,,0,1,FEFRTRWTFR,GHDHS1988408001,1988,DHS,,,,,1
GHA,Central,895720,Total fertility rate 15-49,6.6,1,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_TFR,11763080,I,408002,1408020,Region,Central,0,,0,1,FEFRTRWTFR,GHDHS1988408002,1988,DHS,,,,,1
GHA,Greater Accra,889478,Total fertility rate 15-49,4.7,1,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_TFR,11763080,I,408003,1408030,Region,Greater Accra,0,,0,1,FEFRTRWTFR,GHDHS1988408003,1988,DHS,,,,,1
GHA,Volta (pre 2022),882496,Total fertility rate 15-49,7.2,1,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_TFR,11763080,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,FEFRTRWTFR,GHDHS1988408004,1988,DHS,,,,,1
GHA,Eastern,882474,Total fertility rate 15-49,6,1,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_TFR,11763080,I,408005,1408050,Region,Eastern,0,,0,1,FEFRTRWTFR,GHDHS1988408005,1988,DHS,,,,,1
GHA,Ashanti,882511,Total fertility rate 15-49,6.3,1,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_TFR,11763080,I,408006,1408060,Region,Ashanti,0,,0,1,FEFRTRWTFR,GHDHS1988408006,1988,DHS,,,,,1
GHA,Brong-Ahafo,882480,Total fertility rate 15-49,7.6,1,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_TFR,11763080,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,FEFRTRWTFR,GHDHS1988408007,1988,DHS,,,,,1
GHA,"Northern, Upper West, Upper East",889407,Total fertility rate 15-49,6.9,1,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_TFR,11763080,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,FEFRTRWTFR,GHDHS1988408008,1988,DHS,,,,,1
GHA,Western (pre 2022),889411,General fertility rate,219,0,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_GFR,11763100,I,408001,1408010,Region,Western (pre 2022),0,,0,1,FEFRTRWGFR,GHDHS1988408001,1988,DHS,,,,,1
GHA,Central,895721,General fertility rate,231,0,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_GFR,11763100,I,408002,1408020,Region,Central,0,,0,1,FEFRTRWGFR,GHDHS1988408002,1988,DHS,,,,,1
GHA,Greater Accra,889359,General fertility rate,159,0,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_GFR,11763100,I,408003,1408030,Region,Greater Accra,0,,0,1,FEFRTRWGFR,GHDHS1988408003,1988,DHS,,,,,1
GHA,Volta (pre 2022),882495,General fertility rate,237,0,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_GFR,11763100,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,FEFRTRWGFR,GHDHS1988408004,1988,DHS,,,,,1
GHA,Eastern,882458,General fertility rate,209,0,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_GFR,11763100,I,408005,1408050,Region,Eastern,0,,0,1,FEFRTRWGFR,GHDHS1988408005,1988,DHS,,,,,1
GHA,Ashanti,882507,General fertility rate,209,0,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_GFR,11763100,I,408006,1408060,Region,Ashanti,0,,0,1,FEFRTRWGFR,GHDHS1988408006,1988,DHS,,,,,1
GHA,Brong-Ahafo,882478,General fertility rate,255,0,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_GFR,11763100,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,FEFRTRWGFR,GHDHS1988408007,1988,DHS,,,,,1
GHA,"Northern, Upper West, Upper East",889353,General fertility rate,235,0,GH,Ghana,1988,GH1988DHS,FE_FRTR_W_GFR,11763100,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,FEFRTRWGFR,GHDHS1988408008,1988,DHS,,,,,1
GHA,Western (pre 2022),889744,Median age at first birth for women age 25-49,19.2,1,GH,Ghana,1988,GH1988DHS,FE_AAFB_W_M2B,12103080,I,408001,1408010,Region,Western (pre 2022),0,,0,1,FEAAFBWM2B,GHDHS1988408001,1988,DHS,,,,,1
GHA,Central,895871,Median age at first birth for women age 25-49,19.3,1,GH,Ghana,1988,GH1988DHS,FE_AAFB_W_M2B,12103080,I,408002,1408020,Region,Central,0,,0,1,FEAAFBWM2B,GHDHS1988408002,1988,DHS,,,,,1
GHA,Greater Accra,889716,Median age at first birth for women age 25-49,20.5,1,GH,Ghana,1988,GH1988DHS,FE_AAFB_W_M2B,12103080,I,408003,1408030,Region,Greater Accra,0,,0,1,FEAAFBWM2B,GHDHS1988408003,1988,DHS,,,,,1
GHA,Volta (pre 2022),882949,Median age at first birth for women age 25-49,20,1,GH,Ghana,1988,GH1988DHS,FE_AAFB_W_M2B,12103080,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,FEAAFBWM2B,GHDHS1988408004,1988,DHS,,,,,1
GHA,Eastern,882822,Median age at first birth for women age 25-49,19.2,1,GH,Ghana,1988,GH1988DHS,FE_AAFB_W_M2B,12103080,I,408005,1408050,Region,Eastern,0,,0,1,FEAAFBWM2B,GHDHS1988408005,1988,DHS,,,,,1
GHA,Ashanti,882831,Median age at first birth for women age 25-49,19.3,1,GH,Ghana,1988,GH1988DHS,FE_AAFB_W_M2B,12103080,I,408006,1408060,Region,Ashanti,0,,0,1,FEAAFBWM2B,GHDHS1988408006,1988,DHS,,,,,1
GHA,Brong-Ahafo,882837,Median age at first birth for women age 25-49,19.6,1,GH,Ghana,1988,GH1988DHS,FE_AAFB_W_M2B,12103080,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,FEAAFBWM2B,GHDHS1988408007,1988,DHS,,,,,1
GHA,"Northern, Upper West, Upper East",889749,Median age at first birth for women age 25-49,19.3,1,GH,Ghana,1988,GH1988DHS,FE_AAFB_W_M2B,12103080,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,FEAAFBWM2B,GHDHS1988408008,1988,DHS,,,,,1
GHA,Western (pre 2022),1454519,Women who want no more children,19,1,GH,Ghana,1988,GH1988DHS,PR_DESL_W_WNM,22203010,I,408001,1408010,Region,Western (pre 2022),1000,Total,0,1,PRDESLWWNM,GHDHS1988408001,1988,DHS,,279,,,1
GHA,Western (pre 2022),354140,Women who want no more children,0,1,GH,Ghana,1988,GH1988DHS,PR_DESL_W_WNM,22203010,I,408001,1408010,Region,Western (pre 2022),189001,Living children: 1,0,0,PRDESLWWNM,GHDHS1988408001,1988,DHS,,55,,,1
GHA,Western (pre 2022),1332516,Women who want no more children,7.8,1,GH,Ghana,1988,GH1988DHS,PR_DESL_W_WNM,22203010,I,408001,1408010,Region,Western (pre 2022),189002,Living children: 2,0,0,PRDESLWWNM,GHDHS1988408001,1988,DHS,,51,,,1
GHA,Western (pre 2022),1647110,Women who want no more children,7.1,1,GH,Ghana,1988,GH1988DHS,PR_DESL_W_WNM,22203010,I,408001,1408010,Region,Western (pre 2022),189003,Living children: 3,0,0,PRDESLWWNM,GHDHS1988408001,1988,DHS,,28,,,1
GHA,Western (pre 2022),1922117,Women who want no more children,6.8,1,GH,Ghana,1988,GH1988DHS,PR_DESL_W_WNM,22203010,I,408001,1408010,Region,Western (pre 2022),189004,Living children: 4,0,0,PRDESLWWNM,GHDHS1988408001,1988,DHS,,44,,,1
GHA,Western (pre 2022),6047033,Women who want no more children,37.5,1,GH,Ghana,1988,GH1988DHS,PR_DESL_W_WNM,22203010,I,408001,1408010,Region,Western (pre 2022),189005,Living children: 5,0,0,PRDESLWWNM,GHDHS1988408001,1988,DHS,,32,,,1
GHA,Western (pre 2022),5741815,Women who want no more children,58,1,GH,Ghana,1988,GH1988DHS,PR_DESL_W_WNM,22203010,I,408001,1408010,Region,Western (pre 2022),189006,Living children: 6+,0,0,PRDESLWWNM,GHDHS1988408001,1988,DHS,,50,,,1
GHA,Central,7720777,Women who want no more children,26.1,1,GH,Ghana,1988,GH1988DHS,PR_DESL_W_WNM,22203010,I,408002,1408020,Region,Central,1000,Total,0,1,PRDESLWWNM,GHDHS1988408002,1988,DHS,,329,,,1
GHA,Central,4981648,Women who want no more children,1.6,1,GH,Ghana,1988,GH1988DHS,PR_DESL_W_WNM,22203010,I,408002,1408020,Region,Central,189001,Living children: 1,0,0,PRDESLWWNM,GHDHS1988408002,1988,DHS,,62,,,1
