region,indicator,method,year,point,lo80,hi80
Ahafo,tfr_15_49,RWD,2025,4.009,2.963,5.054
Ahafo,tfr_15_49,RWD,2030,3.524,1.816,5.231
Ashanti,tfr_15_49,RWD,2025,3.253,2.811,3.695
Ashanti,tfr_15_49,RWD,2030,2.841,2.119,3.564
Bono,tfr_15_49,RWD,2025,3.356,2.289,4.423
Bono,tfr_15_49,RWD,2030,2.782,1.04,4.525
Bono East,tfr_15_49,RWD,2025,4.444,3.377,5.511
Bono East,tfr_15_49,RWD,2030,4.018,2.275,5.76
Central,tfr_15_49,RWD,2025,3.335,2.763,3.907
Central,tfr_15_49,RWD,2030,2.894,1.96,3.828
Eastern,tfr_15_49,RWD,2025,3.279,2.75,3.809
Eastern,tfr_15_49,RWD,2030,2.912,2.047,3.777
Greater Accra,tfr_15_49,RWD,2025,2.741,2.106,3.376
Greater Accra,tfr_15_49,RWD,2030,2.476,1.44,3.513
North East,tfr_15_49,RWD,2025,6.574,5.944,7.203
North East,tfr_15_49,RWD,2030,6.529,5.501,7.558
Northern,tfr_15_49,RWD,2025,5.485,4.951,6.019
Northern,tfr_15_49,RWD,2030,5.294,4.422,6.166
Oti,tfr_15_49,RWD,2025,5.024,4.129,5.918
Oti,tfr_15_49,RWD,2030,4.729,3.268,6.19
Savannah,tfr_15_49,RWD,2025,5.703,5.176,6.23
Savannah,tfr_15_49,RWD,2030,5.541,4.681,6.402
Upper East,tfr_15_49,RWD,2025,4.397,3.637,5.157
Upper East,tfr_15_49,RWD,2030,4.059,2.817,5.301
Upper West,tfr_15_49,RWD,2025,4.288,3.498,5.078
Upper West,tfr_15_49,RWD,2030,3.935,2.645,5.226
Volta,tfr_15_49,RWD,2025,2.847,2.139,3.555
Volta,tfr_15_49,RWD,2030,2.259,1.103,3.415
Western,tfr_15_49,RWD,2025,3.353,2.732,3.974
Western,tfr_15_49,RWD,2030,2.941,1.927,3.955
Western North,tfr_15_49,RWD,2025,3.571,2.947,4.194
Western North,tfr_15_49,RWD,2030,3.188,2.17,4.206
Ahafo,tfr_15_49,Linear,2025,3.793,2.574,5.013
Ahafo,tfr_15_49,Linear,2030,3.484,2.188,4.779
Ashanti,tfr_15_49,Linear,2025,3.044,2.387,3.701
Ashanti,tfr_15_49,Linear,2030,2.678,1.98,3.375
Bono,tfr_15_49,Linear,2025,3.583,2.382,4.783
Bono,tfr_15_49,Linear,2030,3.233,1.958,4.509
Bono East,tfr_15_49,Linear,2025,3.934,2.666,5.202
Bono East,tfr_15_49,Linear,2030,3.651,2.304,4.997
Central,tfr_15_49,Linear,2025,3.57,2.855,4.285
Central,tfr_15_49,Linear,2030,3.229,2.47,3.989
Eastern,tfr_15_49,Linear,2025,3.026,2.447,3.604
Eastern,tfr_15_49,Linear,2030,2.697,2.082,3.312
Greater Accra,tfr_15_49,Linear,2025,2.486,1.63,3.341
Greater Accra,tfr_15_49,Linear,2030,2.317,1.408,3.225
North East,tfr_15_49,Linear,2025,6.476,5.959,6.993
North East,tfr_15_49,Linear,2030,6.433,5.884,6.983
Northern,tfr_15_49,Linear,2025,6.125,5.47,6.78
Northern,tfr_15_49,Linear,2030,6.016,5.32,6.712
Oti,tfr_15_49,Linear,2025,3.815,2.455,5.174
Oti,tfr_15_49,Linear,2030,3.553,2.109,4.998
Savannah,tfr_15_49,Linear,2025,6.195,5.595,6.796
Savannah,tfr_15_49,Linear,2030,6.099,5.461,6.737
Upper East,tfr_15_49,Linear,2025,3.906,2.895,4.916
Upper East,tfr_15_49,Linear,2030,3.639,2.565,4.712
Upper West,tfr_15_49,Linear,2025,4.104,3.415,4.792
Upper West,tfr_15_49,Linear,2030,3.803,3.071,4.534
Volta,tfr_15_49,Linear,2025,3.112,2.044,4.179
