region,year,age_first_birth,age_first_marriage,any_contra_married,asfr_15_19,edu_secondary_women,mcpr_all_women,mcpr_married,tfr_15_49,unmet_need
Ahafo,1988,19.6,18.0,12.0,149.0,,4.8,5.2,7.6,
Ahafo,1993,19.6,18.3,25.4,107.0,6.8,13.4,14.0,4.7,40.1
Ahafo,1998,19.6,18.2,24.7,93.0,50.6,11.3,14.8,5.2,35.9
Ahafo,2003,20.2,18.9,33.0,102.0,49.7,20.1,24.8,4.8,32.5
Ahafo,2008,20.2,18.4,29.0,97.0,55.3,15.7,21.6,4.1,35.3
Ahafo,2014,20.8,21.5,30.1,105.0,57.0,23.5,26.2,4.8,26.5
Ahafo,2016,,,,102.0,62.7,,,4.3,
Ahafo,2019,,,,99.0,65.6,,,4.5,
Ahafo,2022,21.1,20.5,42.8,60.0,70.7,29.8,35.8,4.3,24.1
Ashanti,1988,19.3,17.5,10.1,117.0,,5.6,6.5,6.3,
Ashanti,1993,19.9,18.6,13.7,154.0,7.7,6.8,8.0,5.4,45.4
Ashanti,1998,19.9,18.8,24.6,121.0,60.8,10.9,14.0,4.9,34.6
Ashanti,2003,20.2,18.9,29.7,58.0,64.2,16.2,21.0,4.1,28.1
Ashanti,2008,20.8,19.5,27.0,43.0,70.9,11.9,15.7,3.6,36.5
Ashanti,2014,21.5,20.8,26.4,73.0,73.8,15.5,20.8,4.2,31.8
Ashanti,2016,,,,61.0,76.0,,,3.9,
Ashanti,2019,,,,82.0,70.8,,,3.5,
Ashanti,2022,22.2,21.3,44.4,62.0,79.8,26.9,32.1,3.5,23.0
Bono,1988,19.6,18.0,12.0,149.0,,4.8,5.2,7.6,
Bono,1993,19.6,18.3,25.4,107.0,6.8,13.4,14.0,4.7,40.1
Bono,1998,19.6,18.2,24.7,93.0,50.6,11.3,14.8,5.2,35.9
Bono,2003,20.2,18.9,33.0,102.0,49.7,20.1,24.8,4.8,32.5
Bono,2008,20.2,18.4,29.0,97.0,55.3,15.7,21.6,4.1,35.3
Bono,2014,20.8,21.5,30.1,105.0,57.0,23.5,26.2,4.8,26.5
Bono,2016,,,,102.0,62.7,,,4.3,
Bono,2019,,,,99.0,65.6,,,4.5,
Bono,2022,22.4,23.1,38.5,36.0,77.4,22.2,28.3,3.7,23.7
Bono East,1988,19.6,18.0,12.0,149.0,,4.8,5.2,7.6,
Bono East,1993,19.6,18.3,25.4,107.0,6.8,13.4,14.0,4.7,40.1
Bono East,1998,19.6,18.2,24.7,93.0,50.6,11.3,14.8,5.2,35.9
Bono East,2003,20.2,18.9,33.0,102.0,49.7,20.1,24.8,4.8,32.5
Bono East,2008,20.2,18.4,29.0,97.0,55.3,15.7,21.6,4.1,35.3
Bono East,2014,20.8,21.5,30.1,105.0,57.0,23.5,26.2,4.8,26.5
Bono East,2016,,,,102.0,62.7,,,4.3,
Bono East,2019,,,,99.0,65.6,,,4.5,
Bono East,2022,20.8,20.7,22.1,92.0,57.8,17.7,20.7,4.7,29.6
Central,1988,19.3,18.3,9.7,171.0,,4.3,4.9,6.6,
Central,1993,19.7,18.5,15.6,124.0,7.5,7.1,7.6,5.4,42.5
Central,1998,20.0,19.3,19.3,99.0,53.0,9.6,13.1,4.7,39.1
Central,2003,20.1,19.1,15.2,121.0,46.7,12.7,13.2,5.0,49.6
Central,2008,20.2,19.7,22.9,104.0,57.0,14.7,17.0,5.4,50.1
Central,2014,20.5,20.0,31.1,98.0,67.0,23.8,27.5,4.7,29.4
Central,2016,,,,113.0,62.9,,,4.0,
