target,feature,perm_importance,sd
Adolescent ASFR 15-19,employed_share,0.2682,0.0206
Adolescent ASFR 15-19,under15_share,0.249,0.0137
Adolescent ASFR 15-19,uninsured_rate,0.1601,0.0119
Adolescent ASFR 15-19,log_population,0.1243,0.0109
Adolescent ASFR 15-19,women_15_64_share,0.1178,0.0095
Adolescent ASFR 15-19,illiteracy_rate,0.1151,0.0074
Adolescent ASFR 15-19,poverty_rate,0.0823,0.007
Adolescent ASFR 15-19,poverty_intensity,0.0717,0.0054
Adolescent ASFR 15-19,urbanicity,0.0024,0.0007
TFR 15-49,under15_share,0.4065,0.0288
TFR 15-49,illiteracy_rate,0.2129,0.0142
TFR 15-49,employed_share,0.1973,0.0138
TFR 15-49,uninsured_rate,0.1215,0.0099
TFR 15-49,women_15_64_share,0.0561,0.0053
TFR 15-49,log_population,0.0304,0.0028
TFR 15-49,poverty_rate,0.0229,0.0021
TFR 15-49,poverty_intensity,0.0168,0.0017
TFR 15-49,urbanicity,0.0064,0.0011
