district,region,is_structural_gap,poverty_rate__LISA,poverty_rate__p,illiteracy_rate__LISA,illiteracy_rate__p,uninsured_rate__LISA,uninsured_rate__p,under15_share__LISA,under15_share__p,women_15_64_share__LISA,women_15_64_share__p
Asunafo North Municipal,Ahafo,False,NS,0.673,NS,0.844,NS,0.515,NS,0.793,NS,0.185
Asunafo South,Ahafo,False,NS,0.686,NS,0.94,NS,0.077,NS,0.946,NS,0.629
Asutifi North,Ahafo,False,NS,0.225,NS,0.369,LL,0.016,NS,0.459,NS,0.623
Asutifi South,Ahafo,False,NS,0.693,NS,0.676,NS,0.244,NS,0.862,NS,0.418
Tano North Municipal,Ahafo,False,NS,0.152,NS,0.208,LL,0.039,NS,0.483,NS,0.413
Tano South Municipal,Ahafo,False,NS,0.745,NS,0.749,NS,0.672,NS,0.48,NS,0.716
Adansi Asokwa,Ashanti,False,NS,0.265,NS,0.12,NS,0.954,NS,0.622,NS,0.519
Adansi North,Ashanti,False,NS,0.355,NS,0.226,NS,0.712,NS,0.67,NS,0.849
Adansi South,Ashanti,False,NS,0.776,NS,0.404,NS,0.289,NS,0.961,NS,0.735
Afigya Kwabre North,Ashanti,False,NS,0.081,NS,0.057,NS,0.422,NS,0.967,NS,0.415
Afigya Kwabre South,Ashanti,False,LL,0.003,LL,0.005,NS,0.129,NS,0.146,HH,0.017
Ahafo Ano North Municipal,Ashanti,False,NS,0.584,NS,0.613,NS,0.256,NS,0.772,NS,0.548
Ahafo Ano South East,Ashanti,False,NS,0.284,NS,0.331,NS,0.516,NS,0.582,NS,0.942
Ahafo Ano South West,Ashanti,False,NS,0.194,NS,0.215,NS,0.402,NS,0.631,NS,0.751
Akrofuom,Ashanti,False,NS,0.522,NS,0.286,NS,0.789,NS,0.65,NS,0.783
Amansie Central,Ashanti,False,NS,0.451,NS,0.269,NS,0.703,NS,0.362,NS,0.991
Amansie South,Ashanti,False,NS,0.563,NS,0.338,NS,0.813,NS,0.743,NS,0.46
Amansie West,Ashanti,False,NS,0.197,NS,0.147,NS,0.951,NS,0.355,NS,0.632
Asante Akim Central Municipal,Ashanti,False,NS,0.13,NS,0.125,NS,0.584,NS,0.421,NS,0.478
Asante Akim North Municipal,Ashanti,False,NS,0.62,NS,0.229,NS,0.844,NS,0.786,NS,0.874
Asante Akim South Municipal,Ashanti,False,NS,0.218,NS,0.239,NS,0.386,NS,0.933,NS,0.984
Asokore Mampong Municipal,Ashanti,False,LL,0.001,LL,0.001,NS,0.099,LL,0.014,HH,0.002
Asokwa Municipal,Ashanti,False,LL,0.003,LL,0.006,NS,0.132,LL,0.003,HH,0.001
Atwima Kwanwoma,Ashanti,False,LL,0.004,LL,0.008,NS,0.075,HL,0.018,HH,0.002
Atwima Mponua,Ashanti,False,NS,0.849,NS,0.607,NS,0.391,NS,0.937,NS,0.35
Atwima Nwabiagya North,Ashanti,False,NS,0.112,NS,0.128,NS,0.547,NS,0.831,NS,0.503
Atwima Nwabiagya South Municipal,Ashanti,False,NS,0.843,NS,0.799,NS,0.575,NS,0.529,NS,0.539
Bekwai Municipal,Ashanti,False,NS,0.097,NS,0.06,NS,0.946,NS,0.102,NS,0.154
Bosome Freho,Ashanti,False,NS,0.243,NS,0.161,NS,0.746,NS,0.712,NS,0.531
Bosomtwi,Ashanti,False,NS,0.054,LL,0.044,NS,0.168,HL,0.034,HH,0.019
Ejisu Municipal,Ashanti,False,LL,0.002,LL,0.004,NS,0.096,LL,0.01,HH,0.001
Ejura Sekyedumase Municipal,Ashanti,False,NS,0.936,NS,0.991,NS,0.747,NS,0.668,NS,0.67
Juaben Municipal,Ashanti,False,LL,0.045,LL,0.03,NS,0.243,NS,0.056,NS,0.063
"Kumasi Metropolitan Area (KMA)-Bantama, Manhyia North, Manhyia South, Nhyiaeso, & Subin",Ashanti,False,LL,0.001,LL,0.007,NS,0.063,LL,0.01,HH,0.001
Kwabre East,Ashanti,False,LL,0.003,LL,0.01,NS,0.16,NS,0.057,HH,0.007
Kwadaso Municipal,Ashanti,False,LL,0.001,LL,0.008,NS,0.093,NS,0.06,HH,0.005
Mampong Municipal,Ashanti,False,NS,0.109,LL,0.047,NS,0.558,NS,0.669,NS,0.665
Obuasi East,Ashanti,False,NS,0.599,NS,0.312,NS,0.624,NS,0.498,NS,0.927
Obuasi Municipal,Ashanti,False,NS,0.644,NS,0.341,NS,0.675,NS,0.629,NS,0.898
Offinso Municipal,Ashanti,False,NS,0.457,NS,0.356,NS,0.63,NS,0.323,NS,0.632
Offinso North,Ashanti,False,NS,0.122,NS,0.416,NS,0.098,NS,0.686,NS,0.7
Oforikrom Municipal,Ashanti,False,LL,0.002,LL,0.007,NS,0.079,LL,0.038,HH,0.004
Old Tafo Municipal,Ashanti,False,LL,0.001,LL,0.007,NS,0.079,LL,0.019,HH,0.001
Sekyere Afram Plains,Ashanti,False,NS,0.179,NS,0.237,NS,0.202,NS,0.355,LL,0.043
Sekyere Central,Ashanti,False,NS,0.419,NS,0.288,NS,0.955,NS,0.989,NS,0.617
Sekyere East,Ashanti,False,LL,0.015,LL,0.025,NS,0.229,NS,0.15,NS,0.057
Sekyere Kumawu,Ashanti,False,NS,0.089,NS,0.058,NS,0.431,NS,0.597,NS,0.206
Sekyere South,Ashanti,False,NS,0.073,NS,0.068,NS,0.468,NS,0.672,NS,0.675
Suame Municipal,Ashanti,False,LL,0.002,LL,0.003,NS,0.078,LL,0.003,HH,0.001
Banda,Bono,False,NS,0.437,NS,0.288,LL,0.014,NS,0.608,NS,0.514
Berekum East Municipal,Bono,False,LL,0.021,NS,0.238,LL,0.002,NS,0.193,NS,0.118
Berekum West,Bono,False,LL,0.028,NS,0.167,LL,0.002,NS,0.152,NS,0.081
Dormaa Central Municipal,Bono,False,NS,0.099,NS,0.445,LL,0.004,NS,0.521,NS,0.528
Dormaa East,Bono,False,LL,0.046,NS,0.155,LL,0.004,NS,0.15,NS,0.107
Dormaa West,Bono,False,NS,0.532,NS,0.543,LL,0.021,NS,0.993,NS,0.478
Jaman North,Bono,False,NS,0.193,NS,0.957,LL,0.004,NS,0.757,NS,0.684
Jaman South,Bono,False,LL,0.03,NS,0.248,LL,0.001,NS,0.238,NS,0.119
Sunyani Municipal,Bono,False,NS,0.165,NS,0.306,LL,0.005,NS,0.357,NS,0.305
Sunyani West Municipal,Bono,False,NS,0.057,NS,0.164,LL,0.003,NS,0.21,NS,0.158
Tain,Bono,False,NS,0.423,NS,0.345,LL,0.023,NS,0.551,NS,0.476
Wenchi Municipal,Bono,False,NS,0.209,NS,0.414,LL,0.016,NS,0.59,NS,0.489
Atebubu Amantin Municipal,Bono East,False,NS,0.519,HH,0.03,NS,0.787,NS,0.088,LL,0.049
Kintampo North Municipal,Bono East,False,NS,0.643,NS,0.205,NS,0.105,NS,0.382,NS,0.228
Kintampo South,Bono East,False,NS,0.697,NS,0.224,NS,0.133,NS,0.41,NS,0.336
Nkoranza North,Bono East,False,NS,0.185,NS,0.508,LL,0.035,NS,0.407,NS,0.648
Nkoranza South Municipal,Bono East,False,NS,0.285,NS,0.783,NS,0.195,NS,0.438,NS,0.818
Pru East,Bono East,False,NS,0.562,HH,0.018,NS,0.592,HH,0.046,LL,0.026
Pru West,Bono East,False,NS,0.708,HH,0.027,NS,0.182,NS,0.081,LL,0.049
Sene East,Bono East,False,HH,0.016,HH,0.005,HH,0.035,HH,0.028,LL,0.002
Sene West,Bono East,False,LH,0.031,HH,0.003,NS,0.361,HH,0.015,LL,0.003
